Song_ID,Daily Stream,Total Stream,Extract_Date
7FOgcfdz9Nx5V9lCNXdBYv,1814834,26146787,2024-06-28 11:11:02
4fYte8ZvTK14NEhAOZocBi,1804818,1596813042,2024-06-28 11:11:02
3Pbp7cUCx4d3OAkZSCoNvn,1793569,292553656,2024-06-28 11:11:02
33Nj9AdncSmHbCN3QeSZTL,1792364,56131984,2024-06-28 11:11:02
4iZ4pt7kvcaH6Yo8UoZ4s2,1787067,1019768490,2024-06-28 11:11:02
2prqm9sPLj10B4Wg0wE5x9,1773695,117441406,2024-06-28 11:11:02
6me7F0aaZjwDo6RJ5MrfBD,1773280,294540956,2024-06-28 11:11:02
2LawezPeJhN4AWuSB0GtAU,1771954,420166152,2024-06-28 11:11:02
3B54sVLJ402zGa6Xm4YGNe,1766176,1036367121,2024-06-28 11:11:02
6fPan2saHdFaIHuTSatORv,1762369,111168365,2024-06-28 11:11:02
48lxT5qJF0yYyf2z4wB4xW,1741250,189366162,2024-06-28 11:11:02
4KULAymBBJcPRpk1yO4dOG,1729384,649034438,2024-06-28 11:11:02
4SqWKzw0CbA05TGszDgMlc,1723099,1066231412,2024-06-28 11:11:02
1BJJbSX6muJVF2AK7uH1x4,1697752,16878361,2024-06-28 11:11:02
7lQ8MOhq6IN2w8EYcFNSUk,1688655,1297035722,2024-06-28 11:11:02
0RiRZpuVRbi7oqRdSMwhQY,1676247,3223777154,2024-06-28 11:11:02
22skzmqfdWrjJylampe0kt,1676002,861691371,2024-06-28 11:11:02
1YsU8rW2u8z4F0pwOBQ4Ea,1675683,9954224,2024-06-28 11:11:02
4uUG5RXrOk84mYEfFvj3cK,1669387,1663344971,2024-06-28 11:11:02
6NjWCIYu1W8xa3HIvcIhd4,1663857,32023868,2024-06-28 11:11:02
1JSTJqkT5qHq8MDJnJbRE1,1648607,1023357578,2024-06-28 11:11:02
4rXLjWdF2ZZpXCVTfWcshS,1643579,701758240,2024-06-28 11:11:02
6Qyc6fS4DsZjB2mRW9DsQs,1627748,351917986,2024-06-28 11:11:02
3ZFTkvIE7kyPt6Nu3PEa7V,1626510,106290174,2024-06-28 11:11:02
7qEHsqek33rTcFNT9PFqLf,1619248,3342897874,2024-06-28 11:11:02
2tpWsVSb9UEmDRxAl1zhX1,1600356,1483461280,2024-06-28 11:11:02
2a1o6ZejUi8U3wzzOtCOYw,1598988,347640368,2024-06-28 11:11:02
77DRzu7ERs0TX3roZcre7Q,1596727,187768869,2024-06-28 11:11:02
1XBYiRV30ykHw5f4wm6qEn,1595664,5845471,2024-06-28 11:11:02
02MWAaffLxlfxAUY7c5dvx,1594532,2844833917,2024-06-28 11:11:02
0FDzzruyVECATHXKHFs9eJ,1590116,318722427,2024-06-28 11:11:02
5RqSsdzTNPX1uzkmlHCFvK,1582486,867538095,2024-06-28 11:11:02
2eAvDnpXP5W0cVtiI0PUxV,1576410,1394230303,2024-06-28 11:11:02
59NraMJsLaMCVtwXTSia8i,1566350,617912105,2024-06-28 11:11:02
1zv3WFUbZ5vPxFq9I2jAU1,1564825,609638857,2024-06-28 11:11:02
6UelLqGlWMcVH1E5c4H7lY,1557662,2541383999,2024-06-28 11:11:02
5UHK1rtK4MpBGb0KppIYh4,1548728,10049271,2024-06-28 11:11:02
1mea3bSkSGXuIRvnydlB5b,1548701,971342808,2024-06-28 11:11:02
3xKsf9qdS1CyvXSMEid6g8,1547893,581158713,2024-06-28 11:11:02
3KZCP2StVGdWkOKyRZNWA4,1547035,277578912,2024-06-28 11:11:02
2LBqCSwhJGcFQeTHMVGwy3,1540813,1685150116,2024-06-28 11:11:02
28drn6tQo95MRvO0jQEo5C,1540777,225584761,2024-06-28 11:11:02
6Qb7YsAqH4wWFUMbGsCpap,1534583,268679577,2024-06-28 11:11:02
0W0iAC1VGlB82PI6elxFYf,1520489,185227161,2024-06-28 11:11:02
3U5JVgI2x4rDyHGObzJfNf,1519260,378597402,2024-06-28 11:11:02
2KslE17cAJNHTsI2MI0jb2,1512726,563098917,2024-06-28 11:11:02
5uCax9HTNlzGybIStD3vDh,1509652,2299353612,2024-06-28 11:11:02
